"street,city,zip,state,beds,baths,price"
"9021 MADISON AVE,ORANGEVALE,95662,CA,4,2,183200"
"404 6TH ST,GALT,95632,CA,3,1,188741"
"8317 SUNNY CREEK WAY,SACRAMENTO,95823,CA,3,2,189000"
"2617 BASS CT,SACRAMENTO,95826,CA,3,2,192067"
"7005 TIANT WAY,ELK GROVE,95758,CA,3,2,194000"
"7895 CABER WAY,ANTELOPE,95843,CA,3,2,194818"
"7624 BOGEY CT,SACRAMENTO,95828,CA,4,4,195000"
"6930 HAMPTON COVE WAY,SACRAMENTO,95823,CA,3,2,198000"
"8708 MESA BROOK WAY,ELK GROVE,95624,CA,4,2,199500"
"120 GRANT LN,FOLSOM,95630,CA,3,2,200000"
"5907 ELLERSLEE DR,CARMICHAEL,95608,CA,3,1,200000"
"17 SERASPI CT,SACRAMENTO,95834,CA,0,0,206000"
"170 PENHOW CIR,SACRAMENTO,95834,CA,3,2,208000"
"8345 STAR THISTLE WAY,SACRAMENTO,95823,CA,4,2,212864"
"9080 FRESCA WAY,ELK GROVE,95758,CA,4,2,221000"
"391 NATALINO CIR,SACRAMENTO,95835,CA,2,2,221000"
"8373 BLACKMAN WAY,ELK GROVE,95624,CA,5,3,223058"
"9837 CORTE DORADO CT,ELK GROVE,95624,CA,4,2,227887"
"5037 J PKWY,SACRAMENTO,95823,CA,3,2,231477"
"10245 LOS PALOS DR,RANCHO CORDOVA,95670,CA,3,2,234697"
"6613 NAVION DR,CITRUS HEIGHTS,95621,CA,4,2,235000"
"2887 AZEVEDO DR,SACRAMENTO,95833,CA,4,2,236000"
"9186 KINBRACE CT,SACRAMENTO,95829,CA,4,3,236685"
"4243 MIDDLEBURY WAY,MATHER,95655,CA,3,2,237800"
"1028 FALLON PLACE CT,RIO LINDA,95673,CA,3,2,240122"
"4804 NORIKER DR,ELK GROVE,95757,CA,3,2,242638"
"7713 HARVEST WOODS DR,SACRAMENTO,95828,CA,3,2,244000"
"2866 KARITSA AVE,SACRAMENTO,95833,CA,0,0,244500"
"6913 RICHEVE WAY,SACRAMENTO,95828,CA,3,1,244960"
"8636 TEGEA WAY,ELK GROVE,95624,CA,5,3,245918"
"5448 MAIDSTONE WAY,CITRUS HEIGHTS,95621,CA,3,2,250000"
"18 OLLIE CT,ELK GROVE,95758,CA,4,2,250000"
"4010 ALEX LN,CARMICHAEL,95608,CA,2,2,250134"
"4901 MILLNER WAY,ELK GROVE,95757,CA,3,2,254200"
"4818 BRITTNEY LEE CT,SACRAMENTO,95841,CA,4,2,254200"
"5529 LAGUNA PARK DR,ELK GROVE,95758,CA,5,3,258000"
"230 CANDELA CIR,SACRAMENTO,95835,CA,3,2,260000"
"4900 71ST ST,SACRAMENTO,95820,CA,3,1,260014"
"12209 CONSERVANCY WAY,RANCHO CORDOVA,95742,CA,0,0,263500"
"4236 NATOMAS CENTRAL DR,SACRAMENTO,95834,CA,3,2,265000"
"5615 LUPIN LN,POLLOCK PINES,95726,CA,3,2,265000"
"5625 JAMES WAY,SACRAMENTO,95822,CA,3,1,271742"
"7842 LAHONTAN CT,SACRAMENTO,95829,CA,4,3,273750"
"6850 21ST ST,SACRAMENTO,95822,CA,3,2,275086"
"2900 BLAIR RD,POLLOCK PINES,95726,CA,2,2,280908"
"2064 EXPEDITION WAY,SACRAMENTO,95832,CA,4,3,280987"
"2912 NORCADE CIR,SACRAMENTO,95826,CA,8,4,282400"
"9507 SEA CLIFF WAY,ELK GROVE,95758,CA,4,2,285000"
"8882 AUTUMN GOLD CT,ELK GROVE,95624,CA,4,2,287417"
"5322 WHITE LOTUS WAY,ELK GROVE,95757,CA,3,2,291000"
"1838 CASTRO WAY,SACRAMENTO,95818,CA,2,1,292024"
"10158 CRAWFORD WAY,SACRAMENTO,95827,CA,4,4,297000"
"7731 MASTERS ST,ELK GROVE,95758,CA,5,3,297000"
"4925 PERCHERON DR,ELK GROVE,95757,CA,3,2,298000"
"2010 PROMONTORY POINT LN,GOLD RIVER,95670,CA,2,2,299000"
"4727 SAVOIE WAY,SACRAMENTO,95835,CA,5,3,304037"
"8664 MAGNOLIA HILL WAY,ELK GROVE,95624,CA,4,2,311000"
"9570 HARVEST ROSE WAY,SACRAMENTO,95827,CA,5,3,315537"
"4359 CREGAN CT,RANCHO CORDOVA,95742,CA,5,4,320000"
"5337 DUSTY ROSE WAY,RANCHO CORDOVA,95742,CA,0,0,320000"
"8929 SUTTERS GOLD DR,SACRAMENTO,95826,CA,4,3,328360"
"8025 PEERLESS AVE,ORANGEVALE,95662,CA,2,1,334150"
"4620 WELERA WAY,ELK GROVE,95757,CA,3,3,335750"
"9723 TERRAPIN CT,ELK GROVE,95757,CA,4,3,335750"
"2115 SMOKESTACK WAY,SACRAMENTO,95833,CA,0,0,339500"
"100 REBECCA WAY,FOLSOM,95630,CA,3,2,344250"
"9488 OAK VILLAGE WAY,ELK GROVE,95758,CA,4,2,346210"
"8495 DARTFORD DR,SACRAMENTO,95823,CA,3,3,347029"
"6708 PONTA DO SOL WAY,ELK GROVE,95757,CA,4,2,347650"
"4143 SEA MEADOW WAY,SACRAMENTO,95823,CA,4,3,351300"
"3020 RICHARDSON CIR,EL DORADO HILLS,95762,CA,3,2,352000"
"8082 LINDA ISLE LN,SACRAMENTO,95831,CA,0,0,370000"
"15300 MURIETA SOUTH PKWY,RANCHO MURIETA,95683,CA,4,3,370500"
"11215 SHARRMONT CT,WILTON,95693,CA,3,2,372000"
"7105 DANBERG WAY,ELK GROVE,95757,CA,5,3,375000"
"5579 JERRY LITELL WAY,SACRAMENTO,95835,CA,5,3,381300"
"1050 FOXHALL WAY,SACRAMENTO,95831,CA,4,2,381942"
"7837 ABBINGTON WAY,ANTELOPE,95843,CA,4,2,387731"
"1300 F ST,SACRAMENTO,95814,CA,3,3,391000"
"6801 RAWLEY WAY,ELK GROVE,95757,CA,4,3,394470"
"1693 SHELTER COVE DR,GREENWOOD,95635,CA,3,2,395000"
"9361 WADDELL LN,ELK GROVE,95624,CA,4,3,400186"
"10 SEA FOAM CT,SACRAMENTO,95831,CA,3,3,415000"
"6945 RIO TEJO WAY,ELK GROVE,95757,CA,5,3,425000"
"4186 TULIP PARK WAY,RANCHO CORDOVA,95742,CA,5,3,430000"
"9278 DAIRY CT,ELK GROVE,95624,CA,0,0,445000"
"207 ORANGE BLOSSOM CIR Unit C,FOLSOM,95630,CA,5,3,460000"
"6507 RIO DE ONAR WAY,ELK GROVE,95757,CA,4,3,461000"
"7004 RAWLEY WAY,ELK GROVE,95757,CA,4,3,489332"
"6503 RIO DE ONAR WAY,ELK GROVE,95757,CA,5,4,510000"
"2217 APPALOOSA CT,FOLSOM,95630,CA,4,2,539000"
"868 HILDEBRAND CIR,FOLSOM,95630,CA,0,0,585000"
"6030 PALERMO WAY,EL DORADO HILLS,95762,CA,4,3,600000"
"4070 REDONDO DR,EL DORADO HILLS,95762,CA,4,3,606238"
"4004 CRESTA WAY,SACRAMENTO,95864,CA,3,3,660000"
"315 JUMEL CT,EL DORADO HILLS,95762,CA,6,5,830000"
"6272 LONGFORD DR Unit 1,CITRUS HEIGHTS,95621,CA,2,1,69000"
"3432 Y ST,SACRAMENTO,95817,CA,4,2,70000"
"9512 EMERALD PARK DR Unit 3,ELK GROVE,95624,CA,2,1,71000"
"3132 CLAY ST,SACRAMENTO,95815,CA,2,1,78000"
"5221 38TH AVE,SACRAMENTO,95824,CA,2,1,78400"
"6112 HERMOSA ST,SACRAMENTO,95822,CA,3,1,80000"
"483 ARCADE BLVD,SACRAMENTO,95815,CA,4,2,89000"
"671 SONOMA AVE,SACRAMENTO,95815,CA,3,1,90000"
"5980 79TH ST,SACRAMENTO,95824,CA,2,1,90000"
"7607 ELDER CREEK RD,SACRAMENTO,95824,CA,3,1,92000"
"5028 14TH AVE,SACRAMENTO,95820,CA,2,1,93675"
"14788 NATCHEZ CT,RANCHO MURIETA,95683,CA,0,0,97750"
"1069 ACACIA AVE,SACRAMENTO,95815,CA,2,1,98000"
"5201 LAGUNA OAKS DR Unit 199,ELK GROVE,95758,CA,1,1,98000"
"3847 LAS PASAS WAY,SACRAMENTO,95864,CA,3,1,99000"
"5201 LAGUNA OAKS DR Unit 172,ELK GROVE,95758,CA,1,1,100000"
"1121 CREEKSIDE WAY,GALT,95632,CA,3,1,106716"
"5307 CABRILLO WAY,SACRAMENTO,95820,CA,3,1,111000"
"3725 DON JULIO BLVD,NORTH HIGHLANDS,95660,CA,3,1,111000"
"4803 MCCLOUD DR,SACRAMENTO,95842,CA,2,2,114800"
"10542 SILVERWOOD WAY,RANCHO CORDOVA,95670,CA,3,1,120108"
"6318 39TH AVE,SACRAMENTO,95824,CA,3,1,123225"
"211 MCDANIEL CIR,SACRAMENTO,95838,CA,3,2,123750"
"3800 LYNHURST WAY,NORTH HIGHLANDS,95660,CA,3,1,125000"
"6139 HERMOSA ST,SACRAMENTO,95822,CA,3,2,125000"
"2505 RHINE WAY,ELVERTA,95626,CA,3,2,126000"
"3692 PAYNE WAY,NORTH HIGHLANDS,95660,CA,3,1,129000"
"604 MORRISON AVE,SACRAMENTO,95838,CA,2,1,134000"
"648 SANTA ANA AVE,SACRAMENTO,95838,CA,3,2,135000"
"14 ASHLEY OAKS CT,SACRAMENTO,95815,CA,3,2,135500"
"3174 NORTHVIEW DR,SACRAMENTO,95833,CA,3,1,140000"
"840 TRANQUIL LN,GALT,95632,CA,3,2,140000"
"5333 PRIMROSE DR Unit 19A,FAIR OAKS,95628,CA,2,2,142500"
"1035 MILLET WAY,SACRAMENTO,95834,CA,3,2,143500"
"5201 LAGUNA OAKS DR Unit 126,ELK GROVE,95758,CA,0,0,145000"
"3328 22ND AVE,SACRAMENTO,95820,CA,2,1,145000"
"8001 HARTWICK WAY,SACRAMENTO,95828,CA,4,2,145000"
"7812 HARTWICK WAY,SACRAMENTO,95828,CA,3,2,145000"
"4207 PAINTER WAY,NORTH HIGHLANDS,95660,CA,4,2,146000"
"7458 WINKLEY WAY,SACRAMENTO,95822,CA,3,1,148500"
"8354 SUNRISE WOODS WAY,SACRAMENTO,95828,CA,3,2,149000"
"8116 COTTONMILL CIR,SACRAMENTO,95828,CA,3,2,150000"
"4660 CEDARWOOD WAY,SACRAMENTO,95823,CA,4,2,150000"
"9254 HARROGATE WAY,ELK GROVE,95758,CA,2,2,152000"
"6716 TAREYTON WAY,CITRUS HEIGHTS,95621,CA,3,2,156000"
"2028 ROBERT WAY,SACRAMENTO,95825,CA,2,1,156000"
"9346 AIZENBERG CIR,ELK GROVE,95624,CA,2,2,156000"
"4524 LOCH HAVEN WAY,SACRAMENTO,95842,CA,2,1,157788"
"7140 BLUE SPRINGS WAY,CITRUS HEIGHTS,95621,CA,3,2,161653"
"4631 11TH AVE,SACRAMENTO,95820,CA,2,1,161829"
"3228 BAGGAN CT,ANTELOPE,95843,CA,3,2,165000"
"8515 DARTFORD DR,SACRAMENTO,95823,CA,3,2,168000"
"4500 TIPPWOOD WAY,SACRAMENTO,95842,CA,3,2,169000"
"2460 EL ROCCO WAY,RANCHO CORDOVA,95670,CA,3,2,175000"
"8244 SUNBIRD WAY,SACRAMENTO,95823,CA,3,2,176250"
"5841 VALLEY VALE WAY,SACRAMENTO,95823,CA,3,2,179000"
"7863 CRESTLEIGH CT,ANTELOPE,95843,CA,2,2,180000"
"7129 SPRINGMONT DR,ELK GROVE,95758,CA,3,2,180400"
"8284 RED FOX WAY,ELK GROVE,95758,CA,4,2,182000"
"2219 EL CANTO CIR,RANCHO CORDOVA,95670,CA,4,2,184500"
"8907 GEMWOOD WAY,ELK GROVE,95758,CA,3,2,185000"
"5925 MALEVILLE AVE,CARMICHAEL,95608,CA,4,2,189000"
"7031 CANEVALLEY CIR,CITRUS HEIGHTS,95621,CA,3,2,194000"
"3949 WILDROSE WAY,SACRAMENTO,95826,CA,3,1,195000"
"4437 MITCHUM CT,ANTELOPE,95843,CA,3,2,200000"
"2778 KAWEAH CT,CAMERON PARK,95682,CA,3,1,201000"
"1636 ALLENWOOD CIR,LINCOLN,95648,CA,4,2,202500"
"8151 QUAIL RIDGE CT,SACRAMENTO,95828,CA,3,2,205000"
"4899 WIND CREEK DR,SACRAMENTO,95838,CA,4,2,205000"
"2370 BIG CANYON CREEK RD,PLACERVILLE,95667,CA,3,2,205000"
"6049 HAMBURG WAY,SACRAMENTO,95823,CA,4,3,205000"
"4232 71ST ST,SACRAMENTO,95820,CA,2,1,207000"
"3361 BOW MAR CT,CAMERON PARK,95682,CA,2,2,210000"
"1889 COLD SPRINGS RD,PLACERVILLE,95667,CA,2,1,211500"
"5805 HIMALAYA WAY,CITRUS HEIGHTS,95621,CA,4,2,215000"
"7944 SYLVAN OAK WAY,CITRUS HEIGHTS,95610,CA,3,2,215000"
"3139 SPOONWOOD WAY Unit 1,SACRAMENTO,95833,CA,0,0,215500"
"6217 LEOLA WAY,SACRAMENTO,95824,CA,3,1,222381"
"2340 HURLEY WAY,SACRAMENTO,95825,CA,0,0,225000"
"3035 BRUNNET LN,SACRAMENTO,95833,CA,3,2,225000"
"3025 EL PRADO WAY,SACRAMENTO,95825,CA,4,2,225000"
"9387 GRANITE FALLS CT,ELK GROVE,95624,CA,3,2,225000"
"9257 CALDERA WAY,SACRAMENTO,95826,CA,4,2,228000"
"441 ARLINGDALE CIR,RIO LINDA,95673,CA,4,2,229665"
"2284 LOS ROBLES RD,MEADOW VISTA,95722,CA,3,1,230000"
"8164 CHENIN BLANC LN,FAIR OAKS,95628,CA,2,2,230000"
"4620 CHAMBERLIN CIR,ELK GROVE,95757,CA,3,2,230000"
"5340 BIRK WAY,SACRAMENTO,95835,CA,3,2,234000"
"51 ANJOU CIR,SACRAMENTO,95835,CA,3,2,235000"
"2125 22ND AVE,SACRAMENTO,95822,CA,3,1,236250"
"611 BLOSSOM ROCK LN,FOLSOM,95630,CA,0,0,240000"
"8830 ADUR RD,ELK GROVE,95624,CA,0,0,242000"
"7344 BUTTERBALL WAY,SACRAMENTO,95842,CA,3,2,245000"
"8219 GWINHURST CIR,SACRAMENTO,95828,CA,4,3,245000"
"3240 S ST,SACRAMENTO,95816,CA,2,1,245000"
"221 PICASSO CIR,SACRAMENTO,95835,CA,0,0,250000"
"5706 GREENACRES WAY,ORANGEVALE,95662,CA,3,2,250000"
"6900 LONICERA DR,ORANGEVALE,95662,CA,4,2,250000"
"419 DAWNRIDGE RD,ROSEVILLE,95678,CA,3,2,250000"
"5312 MARBURY WAY,ANTELOPE,95843,CA,3,2,255000"
"6344 BONHAM CIR,CITRUS HEIGHTS,95610,CA,5,4,256054"
"8207 YORKTON WAY,SACRAMENTO,95829,CA,3,2,257729"
"7922 MANSELL WAY,ELK GROVE,95758,CA,4,2,260000"
"5712 MELBURY CIR,ANTELOPE,95843,CA,3,2,261000"
"632 NEWBRIDGE LN,LINCOLN,95648,CA,4,2,261800"
"1570 GLIDDEN AVE,SACRAMENTO,95822,CA,4,2,264469"
"8108 FILIFERA WAY,ANTELOPE,95843,CA,4,3,265000"
"230 BANKSIDE WAY,SACRAMENTO,95835,CA,0,0,270000"
"5342 CALABRIA WAY,SACRAMENTO,95835,CA,4,3,270000"
"47 NAPONEE CT,SACRAMENTO,95835,CA,3,2,270000"
"4236 ADRIATIC SEA WAY,SACRAMENTO,95834,CA,0,0,270000"
"8864 REMBRANT CT,ELK GROVE,95624,CA,4,3,275000"
"9455 SEA CLIFF WAY,ELK GROVE,95758,CA,4,2,275000"
"9720 LITTLE HARBOR WAY,ELK GROVE,95624,CA,4,3,280000"
"8806 PHOENIX AVE,FAIR OAKS,95628,CA,3,2,286013"
"3578 LOGGERHEAD WAY,SACRAMENTO,95834,CA,4,2,292000"
"1416 LOCKHART WAY,ROSEVILLE,95747,CA,3,2,292000"
"5413 BUENA VENTURA WAY,FAIR OAKS,95628,CA,3,2,293993"
"37 WHITE BIRCH CT,ROSEVILLE,95678,CA,3,2,294000"
"405 MARLIN SPIKE WAY,SACRAMENTO,95838,CA,3,2,296769"
"1102 CHESLEY LN,LINCOLN,95648,CA,4,4,297500"
"11281 STANFORD COURT LN Unit 604,GOLD RIVER,95670,CA,0,0,300000"
"7320 6TH ST,RIO LINDA,95673,CA,3,1,300000"
"993 MANTON CT,GALT,95632,CA,4,3,300000"
"4487 PANORAMA DR,PLACERVILLE,95667,CA,3,2,300000"
"5651 OVERLEAF WAY,SACRAMENTO,95835,CA,4,2,300500"
"2015 PROMONTORY POINT LN,GOLD RIVER,95670,CA,3,2,305000"
"3224 PARKHAM DR,ROSEVILLE,95747,CA,0,0,306500"
"15 VANESSA PL,SACRAMENTO,95835,CA,0,0,312500"
"1312 RENISON LN,LINCOLN,95648,CA,5,3,315000"
"8 RIVER RAFT CT,SACRAMENTO,95823,CA,4,2,319789"
"2251 LAMPLIGHT LN,LINCOLN,95648,CA,2,2,330000"
"106 FARHAM DR,FOLSOM,95630,CA,3,2,330000"
"5405 NECTAR CIR,ELK GROVE,95757,CA,3,2,331000"
"5411 10TH AVE,SACRAMENTO,95820,CA,2,1,334000"
"3512 RAINSONG CIR,RANCHO CORDOVA,95670,CA,4,3,336000"
"1106 55TH ST,SACRAMENTO,95819,CA,3,1,339000"
"411 ILLSLEY WAY,FOLSOM,95630,CA,4,2,339000"
"796 BUTTERCUP CIR,GALT,95632,CA,4,2,345000"
"1230 SANDRA CIR,PLACERVILLE,95667,CA,4,3,350000"
"318 ANACAPA DR,ROSEVILLE,95678,CA,3,2,356000"
"3975 SHINING STAR DR,SACRAMENTO,95823,CA,4,2,361745"
"1620 BASLER ST,SACRAMENTO,95811,CA,4,2,361948"
"9688 NATURE TRAIL WAY,ELK GROVE,95757,CA,5,3,370000"
"5924 TANUS CIR,ROCKLIN,95677,CA,4,2,380000"
"9629 CEDAR OAK WAY,ELK GROVE,95757,CA,5,4,385000"
"3429 FERNBROOK CT,CAMERON PARK,95682,CA,3,2,399000"
"2121 HANNAH WAY,ROCKLIN,95765,CA,4,2,402000"
"10104 ANNIE ST,ELK GROVE,95757,CA,4,3,406026"
"1092 MAUGHAM CT,GALT,95632,CA,5,4,420000"
"5404 ALMOND FALLS WAY,RANCHO CORDOVA,95742,CA,0,0,425000"
"6306 CONEJO,RANCHO MURIETA,95683,CA,4,2,425000"
"14 CASA VATONI PL,SACRAMENTO,95834,CA,0,0,433500"
"1456 EAGLESFIELD LN,LINCOLN,95648,CA,4,3,436746"
"4100 BOTHWELL CIR,EL DORADO HILLS,95762,CA,5,3,438700"
"427 21ST ST,SACRAMENTO,95811,CA,2,1,445000"
"1044 GALSTON DR,FOLSOM,95630,CA,4,2,450000"
"4440 SYCAMORE AVE,SACRAMENTO,95841,CA,3,1,460000"
"1032 SOUZA DR,EL DORADO HILLS,95762,CA,3,2,460000"
"9760 LAZULITE CT,ELK GROVE,95624,CA,4,3,460000"
"241 LANFRANCO CIR,SACRAMENTO,95835,CA,4,4,465000"
"5559 NORTHBOROUGH DR,SACRAMENTO,95835,CA,5,3,471750"
"2125 BIG SKY DR,ROCKLIN,95765,CA,5,3,480000"
"2109 HAMLET PL,CARMICHAEL,95608,CA,2,2,484000"
"9970 STATE HIGHWAY 193,PLACERVILLE,95667,CA,4,3,485000"
"2901 PINTAIL WAY,ELK GROVE,95757,CA,4,3,495000"
"201 FIRESTONE DR,ROSEVILLE,95678,CA,0,0,500500"
"1740 HIGH ST,AUBURN,95603,CA,3,3,504000"
"2733 DANA LOOP,EL DORADO HILLS,95762,CA,0,0,541000"
"9741 SADDLEBRED CT,WILTON,95693,CA,0,0,560000"
"7756 TIGERWOODS DR,SACRAMENTO,95829,CA,5,3,572500"
"5709 RIVER OAK WAY,CARMICHAEL,95608,CA,4,2,582000"
"2981 WRINGER DR,ROSEVILLE,95661,CA,4,3,613401"
"8616 ROCKPORTE CT,ROSEVILLE,95747,CA,4,2,614000"
"4128 HILL ST,FAIR OAKS,95628,CA,5,5,680000"
"1409 47TH ST,SACRAMENTO,95819,CA,5,2,699000"
"3935 EL MONTE DR,LOOMIS,95650,CA,4,4,839000"
"5840 WALERGA RD,SACRAMENTO,95842,CA,2,1,40000"
"923 FULTON AVE,SACRAMENTO,95825,CA,1,1,48000"
"261 REDONDO AVE,SACRAMENTO,95815,CA,3,1,61500"
"4030 BROADWAY,SACRAMENTO,95817,CA,2,1,62050"
"3660 22ND AVE,SACRAMENTO,95820,CA,2,1,65000"
"3924 HIGH ST,SACRAMENTO,95838,CA,2,1,65000"
"4734 14TH AVE,SACRAMENTO,95820,CA,2,1,68000"
"4734 14TH AVE,SACRAMENTO,95820,CA,2,1,68000"
"5050 RHODE ISLAND DR Unit 4,SACRAMENTO,95841,CA,2,1,77000"
"4513 GREENHOLME DR,SACRAMENTO,95842,CA,2,1,82732"
"3845 ELM ST,SACRAMENTO,95838,CA,3,1,84000"
"3908 17TH AVE,SACRAMENTO,95820,CA,2,1,84675"
"7109 CHANDLER DR,SACRAMENTO,95828,CA,3,1,85000"
"7541 SKELTON WAY,SACRAMENTO,95822,CA,3,1,90000"
"9058 MONTOYA ST,SACRAMENTO,95826,CA,2,1,90000"
"1016 CONGRESS AVE,SACRAMENTO,95838,CA,2,2,91000"
"540 MORRISON AVE,SACRAMENTO,95838,CA,3,1,95000"
"5303 JERRETT WAY,SACRAMENTO,95842,CA,2,1,97500"
"2820 DEL PASO BLVD,SACRAMENTO,95815,CA,4,2,100000"
"3715 TALLYHO DR Unit 78HIGH,SACRAMENTO,95826,CA,1,1,100000"
"6013 ROWAN WAY,CITRUS HEIGHTS,95621,CA,2,1,101000"
"2987 PONDEROSA LN,SACRAMENTO,95815,CA,4,2,102750"
"3732 LANKERSHIM WAY,NORTH HIGHLANDS,95660,CA,3,1,112500"
"2216 DUNLAP DR,SACRAMENTO,95821,CA,3,1,113000"
"3503 21ST AVE,SACRAMENTO,95820,CA,4,2,114000"
"523 EXCHANGE ST,SACRAMENTO,95838,CA,3,1,114000"
"8101 PORT ROYALE WAY,SACRAMENTO,95823,CA,2,1,114750"
"8020 WALERGA RD,ANTELOPE,95843,CA,2,2,115000"
"167 VALLEY OAK DR,ROSEVILLE,95678,CA,2,2,115000"
"7876 BURLINGTON WAY,SACRAMENTO,95832,CA,3,1,116100"
"3726 JONKO AVE,NORTH HIGHLANDS,95660,CA,3,2,119250"
"7342 GIGI PL,SACRAMENTO,95828,CA,4,4,120000"
"2610 PHYLLIS AVE,SACRAMENTO,95820,CA,2,1,120000"
"4200 COMMERCE WAY Unit 711,SACRAMENTO,95834,CA,2,2,120000"
"4621 COUNTRY SCENE WAY,SACRAMENTO,95823,CA,3,2,120108"
"5380 VILLAGE WOOD DR,SACRAMENTO,95823,CA,2,2,121500"
"2621 EVERGREEN ST,SACRAMENTO,95815,CA,3,1,121725"
"201 CARLO CT,GALT,95632,CA,3,2,122000"
"6743 21ST ST,SACRAMENTO,95822,CA,3,2,123000"
"3128 VIA GRANDE,SACRAMENTO,95825,CA,2,1,125000"
"2847 BELGRADE WAY,SACRAMENTO,95833,CA,4,2,125573"
"7741 MILLDALE CIR,ELVERTA,95626,CA,4,2,126714"
"9013 CASALS ST,SACRAMENTO,95826,CA,2,1,126960"
